数据编号,评判维度,预测分数
TE0001,规范性,3.509333333333333
TE0002,流畅性,3.1726666666666667
TE0003,规范性,3.509333333333333
TE0004,流畅性,3.1726666666666667
TE0005,流畅性,3.1726666666666667
TE0006,流畅性,3.1726666666666667
TE0007,规范性,3.509333333333333
TE0008,规范性,3.509333333333333
TE0009,流畅性,3.1726666666666667
TE0010,流畅性,3.1726666666666667
TE0011,规范性,3.509333333333333
TE0012,流畅性,3.1726666666666667
TE0013,流畅性,3.1726666666666667
TE0014,规范性,3.509333333333333
TE0015,规范性,3.509333333333333
TE0016,规范性,3.509333333333333
TE0017,流畅性,3.1726666666666667
TE0018,流畅性,3.1726666666666667
TE0019,规范性,3.509333333333333
TE0020,流畅性,3.1726666666666667
TE0021,流畅性,3.1726666666666667
TE0022,流畅性,3.1726666666666667
TE0023,规范性,3.509333333333333
TE0024,规范性,3.509333333333333
TE0025,规范性,3.509333333333333
TE0026,流畅性,3.1726666666666667
TE0027,规范性,3.509333333333333
TE0028,流畅性,3.1726666666666667
TE0029,规范性,3.509333333333333
TE0030,规范性,3.509333333333333
TE0031,流畅性,3.1726666666666667
TE0032,流畅性,3.1726666666666667
TE0033,规范性,3.509333333333333
TE0034,流畅性,3.1726666666666667
TE0035,流畅性,3.1726666666666667
TE0036,规范性,3.509333333333333
TE0037,规范性,3.509333333333333
TE0038,规范性,3.509333333333333
TE0039,流畅性,3.1726666666666667
TE0040,流畅性,3.1726666666666667
TE0041,规范性,3.509333333333333
TE0042,流畅性,3.1726666666666667
TE0043,流畅性,3.1726666666666667
TE0044,规范性,3.509333333333333
TE0045,规范性,3.509333333333333
TE0046,流畅性,3.1726666666666667
TE0047,流畅性,3.1726666666666667
TE0048,规范性,3.509333333333333
TE0049,规范性,3.509333333333333
TE0050,规范性,3.509333333333333
TE0051,流畅性,3.1726666666666667
TE0052,规范性,3.509333333333333
TE0053,规范性,3.509333333333333
TE0054,流畅性,3.1726666666666667
TE0055,规范性,3.509333333333333
TE0056,流畅性,3.1726666666666667
TE0057,流畅性,3.1726666666666667
TE0058,规范性,3.509333333333333
TE0059,流畅性,3.1726666666666667
TE0060,流畅性,3.1726666666666667
TE0061,流畅性,3.1726666666666667
TE0062,规范性,3.509333333333333
TE0063,规范性,3.509333333333333
TE0064,规范性,3.509333333333333
TE0065,流畅性,3.1726666666666667
TE0066,流畅性,3.1726666666666667
TE0067,规范性,3.509333333333333
TE0068,规范性,3.509333333333333
TE0069,规范性,3.509333333333333
TE0070,规范性,3.509333333333333
TE0071,规范性,3.509333333333333
TE0072,流畅性,3.1726666666666667
TE0073,规范性,3.509333333333333
TE0074,规范性,3.509333333333333
TE0075,规范性,3.509333333333333
TE0076,流畅性,3.1726666666666667
TE0077,流畅性,3.1726666666666667
TE0078,规范性,3.509333333333333
TE0079,规范性,3.509333333333333
TE0080,流畅性,3.1726666666666667
TE0081,规范性,3.509333333333333
TE0082,规范性,3.509333333333333
TE0083,规范性,3.509333333333333
TE0084,流畅性,3.1726666666666667
TE0085,规范性,3.509333333333333
TE0086,流畅性,3.1726666666666667
TE0087,流畅性,3.1726666666666667
TE0088,规范性,3.509333333333333
TE0089,规范性,3.509333333333333
TE0090,流畅性,3.1726666666666667
TE0091,流畅性,3.1726666666666667
TE0092,规范性,3.509333333333333
TE0093,规范性,3.509333333333333
TE0094,流畅性,3.1726666666666667
TE0095,流畅性,3.1726666666666667
